borough;numfloors;LAT;LONG;coordinates 
BK;8.0;40.7202788;-73.946886;40.7202788, -73.946886
BK;8.0;40.6300115;-73.947084;40.6300115, -73.947084
MN;20.0;40.7955207;-73.947133;40.7955207, -73.947133
BK;7.0;40.6535482;-73.947296;40.6535482, -73.947296
MN;23.0;40.7791127;-73.947341;40.7791127, -73.947341
MN;10.0;40.7833561;-73.947381;40.7833561, -73.947381
MN;16.0;40.7764312;-73.947585;40.7764312, -73.947585
MN;14.0;40.7706865;-73.947586;40.7706865, -73.947586
MN;8.0;40.8072162;-73.947633;40.8072162, -73.947633
BK;10.0;40.6800547;-73.947823;40.6800547, -73.947823
MN;7.0;40.8273406;-73.947993;40.8273406, -73.947993
BK;12.0;40.6539054;-73.948121;40.6539054, -73.948121
BK;8.0;40.6929774;-73.948426;40.6929774, -73.948426
BK;8.0;40.7249924;-73.948762;40.7249924, -73.948762
MN;7.0;40.823836;-73.948946;40.823836, -73.948946
BK;7.0;40.6778457;-73.949083;40.6778457, -73.949083
MN;7.0;40.823633;-73.949181;40.823633, -73.949181
BK;8.0;40.6120341;-73.949234;40.6120341, -73.949234
MN;8.0;40.7832417;-73.949331;40.7832417, -73.949331
MN;14.0;40.7955382;-73.949448;40.7955382, -73.949448
MN;13.0;40.782981;-73.949472;40.782981, -73.949472
MN;11.0;40.8299295;-73.949505;40.8299295, -73.949505
MN;7.0;40.8107743;-73.949935;40.8107743, -73.949935
MN;24.0;40.7943005;-73.949969;40.7943005, -73.949969
MN;43.0;40.7751643;-73.950164;40.7751643, -73.950164
QN;7.0;40.7408358;-73.950251;40.7408358, -73.950251
MN;11.0;40.8118065;-73.950346;40.8118065, -73.950346
MN;7.0;40.7728561;-73.950422;40.7728561, -73.950422
BK;16.0;40.6544334;-73.950456;40.6544334, -73.950456
MN;8.0;40.7721453;-73.950715;40.7721453, -73.950715
BK;Jun.25;40.658117;-73.950792;40.658117, -73.950792
MN;22.0;40.7863631;-73.950885;40.7863631, -73.950885
MN;14.0;40.7687859;-73.950898;40.7687859, -73.950898
BK;7.0;40.7085221;-73.950982;40.7085221, -73.950982
BK;7.0;40.6537392;-73.951134;40.6537392, -73.951134
BK;7.0;40.6998844;-73.951194;40.6998844, -73.951194
MN;20.0;40.7773743;-73.951296;40.7773743, -73.951296
MN;14.0;40.7720742;-73.951318;40.7720742, -73.951318
MN;17.0;40.7696259;-73.951327;40.7696259, -73.951327
QN;7.0;40.744259;-73.951396;40.744259, -73.951396
MN;7.0;40.7688357;-73.951898;40.7688357, -73.951898
MN;40.0;40.7768641;-73.952051;40.7768641, -73.952051
MN;11.0;40.7908787;-73.952059;40.7908787, -73.952059
MN;17.0;40.7885156;-73.952216;40.7885156, -73.952216
MN;11.0;40.7666894;-73.952228;40.7666894, -73.952228
MN;9.0;40.7699063;-73.952251;40.7699063, -73.952251
MN;11.0;40.7683335;-73.952263;40.7683335, -73.952263
BK;8.0;40.6997586;-73.952294;40.6997586, -73.952294
